Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Image Src,Image Position
lab-grown-diamond-ring-0009,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0009,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0009,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0010,Lab Grown Diamond Ring Model 0010,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,17,SKU-LA-RI-0010,9,54493,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0010,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0010,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0010,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0010,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0011,Lab Grown Diamond Ring Model 0011,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,17,SKU-LA-RI-0011,14,16369,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0011,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0011,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0011,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0011,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0012,Lab Grown Diamond Ring Model 0012,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,18,SKU-LA-RI-0012,20,65778,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0012,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0012,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0012,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0012,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0013,Lab Grown Diamond Ring Model 0013,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,14,SKU-LA-RI-0013,2,98683,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0013,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0013,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0013,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0013,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0014,Lab Grown Diamond Ring Model 0014,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,18,SKU-LA-RI-0014,12,142764,169434,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0014,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0014,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0014,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0014,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0015,Lab Grown Diamond Ring Model 0015,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,13,SKU-LA-RI-0015,14,27384,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0015,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0015,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0015,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0015,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0016,Lab Grown Diamond Ring Model 0016,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,12,SKU-LA-RI-0016,6,90457,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0016,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0016,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0016,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0016,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0017,Lab Grown Diamond Ring Model 0017,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,13,SKU-LA-RI-0017,17,142676,178155,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0017,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0017,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0017,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0017,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0018,Lab Grown Diamond Ring Model 0018,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,15,SKU-LA-RI-0018,4,83973,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0018,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0018,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0018,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0018,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0019,Lab Grown Diamond Ring Model 0019,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,12,SKU-LA-RI-0019,15,106627,127647,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0019,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0019,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0019,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0019,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0020,Lab Grown Diamond Ring Model 0020,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,16,SKU-LA-RI-0020,6,141940,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0020,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0020,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0020,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0020,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0021,Lab Grown Diamond Ring Model 0021,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,18,SKU-LA-RI-0021,12,104350,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0021,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0021,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0021,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0021,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0022,Lab Grown Diamond Ring Model 0022,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,11,SKU-LA-RI-0022,10,30858,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0022,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0022,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0022,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0022,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0023,Lab Grown Diamond Ring Model 0023,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,18,SKU-LA-RI-0023,17,82078,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0023,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0023,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0023,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0023,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0024,Lab Grown Diamond Ring Model 0024,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,15,SKU-LA-RI-0024,15,137619,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0024,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0024,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0024,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0024,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0025,Lab Grown Diamond Ring Model 0025,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,14,SKU-LA-RI-0025,14,72693,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0025,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0025,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0025,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0025,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0026,Lab Grown Diamond Ring Model 0026,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,15,SKU-LA-RI-0026,10,82154,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0026,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0026,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0026,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0026,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0027,Lab Grown Diamond Ring Model 0027,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,14,SKU-LA-RI-0027,10,144424,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0027,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0027,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0027,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0027,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0028,Lab Grown Diamond Ring Model 0028,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,16,SKU-LA-RI-0028,6,128486,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0028,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0028,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0028,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0028,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0029,Lab Grown Diamond Ring Model 0029,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,16,SKU-LA-RI-0029,12,56992,75608,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0029,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
