Handle,Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Product Metafield: custom.gross_weight,Product Metafield: custom.net_weight,Product Metafield: custom.diamond_weight,Product Metafield: custom.stone_weight,Variant Metafield: custom.gold_value,Variant Metafield: custom.diamond_value,Variant Metafield: custom.making_charges,Variant Metafield: custom.gst_amount
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,14kt,Diamond Quality,G-H VS-SI,SKU-14-Y-G-HVS-SI,144715,,,,,57000,70000,1000,4215
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,14kt,Diamond Quality,G-H SI-I,SKU-14-Y-G-HSI-I,135702,,,,,57000,61250,1000,3952
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,14kt,Diamond Quality,H-I VS-SI,SKU-14-Y-H-IVS-SI,130295,,,,,57000,56000,1000,3795
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,14kt,Diamond Quality,H-I SI-I,SKU-14-Y-H-ISI-I,123085,,,,,57000,49000,1000,3585
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,14kt,Diamond Quality,I-J VS-SI,SKU-14-Y-I-JVS-SI,110468,,,,,57000,36750,1000,3218
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,14kt,Diamond Quality,I-J SI-I,SKU-14-Y-I-JSI-I,108665,,,,,57000,35000,1000,3165
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,9kt,Diamond Quality,F-G VS-SI,SKU-9k-Y-F-GVS-SI,139050,,,,,42750,78750,1000,4050
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,9kt,Diamond Quality,F-G SI-I,SKU-9k-Y-F-GSI-I,130038,,,,,42750,70000,1000,3788
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,9kt,Diamond Quality,G-H VS-SI,SKU-9k-Y-G-HVS-SI,130038,,,,,42750,70000,1000,3788
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,9kt,Diamond Quality,G-H SI-I,SKU-9k-Y-G-HSI-I,121025,,,,,42750,61250,1000,3525
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,9kt,Diamond Quality,H-I VS-SI,SKU-9k-Y-H-IVS-SI,115618,,,,,42750,56000,1000,3368
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,9kt,Diamond Quality,H-I SI-I,SKU-9k-Y-H-ISI-I,108408,,,,,42750,49000,1000,3158
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,9kt,Diamond Quality,I-J VS-SI,SKU-9k-Y-I-JVS-SI,95790,,,,,42750,36750,1000,2790
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,9kt,Diamond Quality,I-J SI-I,SKU-9k-Y-I-JSI-I,93988,,,,,42750,35000,1000,2738
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,18kt,Diamond Quality,F-G VS-SI,SKU-18-R-F-GVS-SI,168405,,,,,71250,78750,1000,4905
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,18kt,Diamond Quality,F-G SI-I,SKU-18-R-F-GSI-I,159392,,,,,71250,70000,1000,4642
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,18kt,Diamond Quality,G-H VS-SI,SKU-18-R-G-HVS-SI,159392,,,,,71250,70000,1000,4642
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,18kt,Diamond Quality,G-H SI-I,SKU-18-R-G-HSI-I,150380,,,,,71250,61250,1000,4380
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,18kt,Diamond Quality,H-I VS-SI,SKU-18-R-H-IVS-SI,144972,,,,,71250,56000,1000,4222
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,18kt,Diamond Quality,H-I SI-I,SKU-18-R-H-ISI-I,137762,,,,,71250,49000,1000,4012
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,18kt,Diamond Quality,I-J VS-SI,SKU-18-R-I-JVS-SI,125145,,,,,71250,36750,1000,3645
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,18kt,Diamond Quality,I-J SI-I,SKU-18-R-I-JSI-I,123342,,,,,71250,35000,1000,3592
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,14kt,Diamond Quality,F-G VS-SI,SKU-14-R-F-GVS-SI,153728,,,,,57000,78750,1000,4478
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,14kt,Diamond Quality,F-G SI-I,SKU-14-R-F-GSI-I,144715,,,,,57000,70000,1000,4215
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,14kt,Diamond Quality,G-H VS-SI,SKU-14-R-G-HVS-SI,144715,,,,,57000,70000,1000,4215
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,14kt,Diamond Quality,G-H SI-I,SKU-14-R-G-HSI-I,135702,,,,,57000,61250,1000,3952
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,14kt,Diamond Quality,H-I VS-SI,SKU-14-R-H-IVS-SI,130295,,,,,57000,56000,1000,3795
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,14kt,Diamond Quality,H-I SI-I,SKU-14-R-H-ISI-I,123085,,,,,57000,49000,1000,3585
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,14kt,Diamond Quality,I-J VS-SI,SKU-14-R-I-JVS-SI,110468,,,,,57000,36750,1000,3218
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,14kt,Diamond Quality,I-J SI-I,SKU-14-R-I-JSI-I,108665,,,,,57000,35000,1000,3165
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,9kt,Diamond Quality,F-G VS-SI,SKU-9k-R-F-GVS-SI,139050,,,,,42750,78750,1000,4050
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,9kt,Diamond Quality,F-G SI-I,SKU-9k-R-F-GSI-I,130038,,,,,42750,70000,1000,3788
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,9kt,Diamond Quality,G-H VS-SI,SKU-9k-R-G-HVS-SI,130038,,,,,42750,70000,1000,3788
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,9kt,Diamond Quality,G-H SI-I,SKU-9k-R-G-HSI-I,121025,,,,,42750,61250,1000,3525
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,9kt,Diamond Quality,H-I VS-SI,SKU-9k-R-H-IVS-SI,115618,,,,,42750,56000,1000,3368
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,9kt,Diamond Quality,H-I SI-I,SKU-9k-R-H-ISI-I,108408,,,,,42750,49000,1000,3158
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,9kt,Diamond Quality,I-J VS-SI,SKU-9k-R-I-JVS-SI,95790,,,,,42750,36750,1000,2790
diamond-ring-01,,,,Gold Color,Rose Gold,Gold Purity,9kt,Diamond Quality,I-J SI-I,SKU-9k-R-I-JSI-I,93988,,,,,42750,35000,1000,2738
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,18kt,Diamond Quality,F-G VS-SI,SKU-18-W-F-GVS-SI,168405,,,,,71250,78750,1000,4905
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,18kt,Diamond Quality,F-G SI-I,SKU-18-W-F-GSI-I,159392,,,,,71250,70000,1000,4642
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,18kt,Diamond Quality,G-H VS-SI,SKU-18-W-G-HVS-SI,159392,,,,,71250,70000,1000,4642
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,18kt,Diamond Quality,G-H SI-I,SKU-18-W-G-HSI-I,150380,,,,,71250,61250,1000,4380
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,18kt,Diamond Quality,H-I VS-SI,SKU-18-W-H-IVS-SI,144972,,,,,71250,56000,1000,4222
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,18kt,Diamond Quality,H-I SI-I,SKU-18-W-H-ISI-I,137762,,,,,71250,49000,1000,4012
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,18kt,Diamond Quality,I-J VS-SI,SKU-18-W-I-JVS-SI,125145,,,,,71250,36750,1000,3645
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,18kt,Diamond Quality,I-J SI-I,SKU-18-W-I-JSI-I,123342,,,,,71250,35000,1000,3592
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,14kt,Diamond Quality,F-G VS-SI,SKU-14-W-F-GVS-SI,153728,,,,,57000,78750,1000,4478
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,14kt,Diamond Quality,F-G SI-I,SKU-14-W-F-GSI-I,144715,,,,,57000,70000,1000,4215
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,14kt,Diamond Quality,G-H VS-SI,SKU-14-W-G-HVS-SI,144715,,,,,57000,70000,1000,4215
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,14kt,Diamond Quality,G-H SI-I,SKU-14-W-G-HSI-I,135702,,,,,57000,61250,1000,3952
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,14kt,Diamond Quality,H-I VS-SI,SKU-14-W-H-IVS-SI,130295,,,,,57000,56000,1000,3795
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,14kt,Diamond Quality,H-I SI-I,SKU-14-W-H-ISI-I,123085,,,,,57000,49000,1000,3585
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,14kt,Diamond Quality,I-J VS-SI,SKU-14-W-I-JVS-SI,110468,,,,,57000,36750,1000,3218
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,14kt,Diamond Quality,I-J SI-I,SKU-14-W-I-JSI-I,108665,,,,,57000,35000,1000,3165
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,9kt,Diamond Quality,F-G VS-SI,SKU-9k-W-F-GVS-SI,139050,,,,,42750,78750,1000,4050
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,9kt,Diamond Quality,F-G SI-I,SKU-9k-W-F-GSI-I,130038,,,,,42750,70000,1000,3788
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,9kt,Diamond Quality,G-H VS-SI,SKU-9k-W-G-HVS-SI,130038,,,,,42750,70000,1000,3788
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,9kt,Diamond Quality,G-H SI-I,SKU-9k-W-G-HSI-I,121025,,,,,42750,61250,1000,3525
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,9kt,Diamond Quality,H-I VS-SI,SKU-9k-W-H-IVS-SI,115618,,,,,42750,56000,1000,3368
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,9kt,Diamond Quality,H-I SI-I,SKU-9k-W-H-ISI-I,108408,,,,,42750,49000,1000,3158
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,9kt,Diamond Quality,I-J VS-SI,SKU-9k-W-I-JVS-SI,95790,,,,,42750,36750,1000,2790
diamond-ring-01,,,,Gold Color,White Gold,Gold Purity,9kt,Diamond Quality,I-J SI-I,SKU-9k-W-I-JSI-I,93988,,,,,42750,35000,1000,2738
